
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = seconds, Row = 79, Col = [34, 41]
identifier = pack, Row = 80, Col = [5, 9]
identifier = LEFT, Row = 80, Col = [15, 19]
identifier = Button, Row = 82, Col = [0, 6]
identifier = root, Row = 82, Col = [7, 11]
identifier = text, Row = 82, Col = [12, 16]
identifier = font, Row = 82, Col = [29, 33]
identifier = Threading, Row = 82, Col = [59, 68]
identifier = pack, Row = 82, Col = [70, 74]
identifier = pady, Row = 82, Col = [75, 79]
identifier = mainloop, Row = 85, Col = [5, 13]

------------------------------------------------------------------------------------------

----------------------Identifiers for file get_links.py-----------------------------------

identifier = requests, Row = 0, Col = [7, 15]
identifier = rq, Row = 0, Col = [19, 21]
identifier = bs4, Row = 1, Col = [5, 8]
identifier = BeautifulSoup, Row = 1, Col = [16, 29]
identifier = url, Row = 3, Col = [0, 3]
identifier = input, Row = 3, Col = [6, 11]
identifier = url, Row = 4, Col = [26, 29]
identifier = data, Row = 5, Col = [4, 8]
identifier = get, Row = 5, Col = [14, 17]
identifier = url, Row = 5, Col = [18, 21]
identifier = data, Row = 7, Col = [4, 8]
identifier = get, Row = 7, Col = [14, 17]
identifier = url, Row = 7, Col = [31, 34]
identifier = soup, Row = 8, Col = [0, 4]
identifier = BeautifulSoup, Row = 8, Col = [7, 20]
identifier = text, Row = 8, Col = [26, 30]
identifier = links, Row = 9, Col = [0, 5]
identifier = link, Row = 10, Col = [4, 8]
identifier = find_all, Row = 10, Col = [17, 25]
identifier = append, Row = 11, Col = [10, 16]
identifier = get, Row = 11, Col = [22, 25]
identifier = open, Row = 15, Col = [5, 9]
identifier = saved, Row = 15, Col = [33, 38]
identifier = print, Row = 16, Col = [4, 9]
identifier = links, Row = 16, Col = [10, 15]
identifier = saved, Row = 16, Col = [27, 32]

------------------------------------------------------------------------------------------

----------------------Identifiers for file make_art.py-----------------------------------

identifier = cv2, Row = 2, Col = [7, 10]
identifier = numpy, Row = 3, Col = [7, 12]
identifier = np, Row = 3, Col = [16, 18]
identifier = sys, Row = 5, Col = [7, 10]
identifier = symbols_list, Row = 7, Col = [0, 12]
identifier = threshold_list, Row = 8, Col = [0, 14]
identifier = print_out_ascii, Row = 10, Col = [4, 19]
identifier = array, Row = 10, Col = [20, 25]
identifier = array, Row = 13, Col = [15, 20]
identifier = row, Row = 14, Col = [17, 20]
identifier = print, Row = 16, Col = [12, 17]
identifier = symbols_list, Row = 16, Col = [18, 30]
identifier = int, Row = 16, Col = [31, 34]
identifier = e, Row = 16, Col = [35, 36]
identifier = len, Row = 16, Col = [40, 43]
identifier = symbols_list, Row = 16, Col = [44, 56]
identifier = end, Row = 16, Col = [60, 63]
identifier = print, Row = 17, Col = [8, 13]
identifier = img_to_ascii, Row = 20, Col = [4, 16]
identifier = image, Row = 20, Col = [17, 22]
identifier = width, Row = 25, Col = [12, 17]
identifier = shape, Row = 25, Col = [26, 31]
identifier = new_width, Row = 26, Col = [4, 13]
identifier = int, Row = 26, Col = [16, 19]
identifier = width, Row = 26, Col = [20, 25]
identifier = new_height, Row = 27, Col = [4, 14]
identifier = int, Row = 27, Col = [17, 20]
identifier = height, Row = 27, Col = [21, 27]
identifier = resized_image, Row = 30, Col = [4, 17]
identifier = resize, Row = 30, Col = [24, 30]
identifier = image, Row = 30, Col = [31, 36]
identifier = new_height, Row = 30, Col = [50, 60]
identifier = thresh_image, Row = 32, Col = [4, 16]
identifier = zeros, Row = 32, Col = [22, 27]
identifier = shape, Row = 32, Col = [42, 47]
identifier = threshold, Row = 34, Col = [11, 20]
identifier = enumerate, Row = 34, Col = [24, 33]
identifier = threshold_list, Row = 34, Col = [34, 48]
identifier = thresh_image, Row = 36, Col = [8, 20]
identifier = threshold, Row = 36, Col = [37, 46]
identifier = i, Row = 36, Col = [50, 51]
identifier = thresh_image, Row = 37, Col = [11, 23]
identifier = __name__, Row = 40, Col = [3, 11]
identifier = len, Row = 42, Col = [7, 10]
identifier = argv, Row = 42, Col = [15, 19]
identifier = print, Row = 43, Col = [8, 13]
identifier = image_path, Row = 44, Col = [8, 18]
identifier = len, Row = 46, Col = [7, 10]
identifier = argv, Row = 46, Col = [15, 19]
identifier = print, Row = 47, Col = [8, 13]
identifier = format, Row = 47, Col = [41, 47]
identifier = argv, Row = 47, Col = [52, 56]
identifier = image_path, Row = 48, Col = [8, 18]
identifier = argv, Row = 48, Col = [25, 29]
identifier = image, Row = 50, Col = [4, 9]
identifier = imread, Row = 50, Col = [16, 22]
identifier = image_path, Row = 50, Col = [23, 33]
identifier = ascii_art, Row = 52, Col = [4, 13]
identifier = img_to_ascii, Row = 52, Col = [16, 28]
identifier = image, Row = 52, Col = [29, 34]
